n_acesso,ddat_ano,ddat_mes,ddat_dia,ddat_dia_semana,ddat_semestre,ddat_trimestre,darq_id,acess_id
192,2016,11,7,seg,2,4,18771,17989
31,2016,11,7,seg,2,4,17989,19072
54,2016,11,7,seg,2,4,19072,17797
25,2016,11,7,seg,2,4,17797,18771
192,2016,11,7,seg,2,4,18771,17348
1,2016,11,7,seg,2,4,17348,17352
1,2016,11,7,seg,2,4,17352,17892
2,2016,11,7,seg,2,4,17892,17892
2,2016,11,7,seg,2,4,17892,17730
5,2016,11,7,seg,2,4,17730,17244
12,2016,11,7,seg,2,4,17244,18825
10,2016,11,8,ter,2,4,18825,17150
82,2016,11,8,ter,2,4,17150,17150
82,2016,11,8,ter,2,4,17150,19146
7,2016,11,8,ter,2,4,19146,17448
10,2016,11,8,ter,2,4,17448,18023
45,2016,11,8,ter,2,4,18023,18264
24,2016,11,9,qua,2,4,18264,18084
44,2016,11,9,qua,2,4,18084,17347
64,2016,11,9,qua,2,4,17347,18019
16,2016,11,9,qua,2,4,18019,39108
1,2016,11,9,qua,2,4,39108,18790
1,2016,11,9,qua,2,4,18790,17722
1,2016,11,9,qua,2,4,17722,18019
16,2016,11,9,qua,2,4,18019,18771
192,2016,11,9,qua,2,4,18771,18259
6,2016,11,9,qua,2,4,18259,18023
45,2016,11,9,qua,2,4,18023,18023
45,2016,11,9,qua,2,4,18023,19000
56,2016,11,9,qua,2,4,19000,17448
10,2016,11,10,qui,2,4,17448,18593
18,2016,11,10,qui,2,4,18593,19034
41,2016,11,10,qui,2,4,19034,17448
10,2016,11,10,qui,2,4,17448,19034
41,2016,11,10,qui,2,4,19034,18093
2,2016,11,10,qui,2,4,18093,17789
1,2016,11,10,qui,2,4,17789,18663
3,2016,11,10,qui,2,4,18663,18663
3,2016,11,10,qui,2,4,18663,17448
10,2016,11,10,qui,2,4,17448,18402
4,2016,11,10,qui,2,4,18402,17797
25,2016,11,10,qui,2,4,17797,18593
18,2016,11,10,qui,2,4,18593,18593
18,2016,11,10,qui,2,4,18593,18593
18,2016,11,10,qui,2,4,18593,18593
18,2016,11,10,qui,2,4,18593,18771
192,2016,11,10,qui,2,4,18771,19000
56,2016,11,10,qui,2,4,19000,18125
34,2016,11,10,qui,2,4,18125,19154
53,2016,11,11,sex,2,4,19154,19072
54,2016,11,11,sex,2,4,19072,18771
192,2016,11,11,sex,2,4,18771,19034
41,2016,11,11,sex,2,4,19034,17820
2,2016,11,11,sex,2,4,17820,18084
44,2016,11,11,sex,2,4,18084,17150
82,2016,11,11,sex,2,4,17150,18307
3,2016,11,11,sex,2,4,18307,17781
3,2016,11,11,sex,2,4,17781,19034
41,2016,11,12,sb,2,4,19034,18321
3,2016,11,12,sb,2,4,18321,17893
1,2016,11,12,sb,2,4,17893,18023
45,2016,11,12,sb,2,4,18023,19031
3,2016,11,12,sb,2,4,19031,19043
2,2016,11,12,sb,2,4,19043,17448
10,2016,11,14,seg,2,4,17448,19154
53,2016,11,14,seg,2,4,19154,19154
53,2016,11,14,seg,2,4,19154,19154
53,2016,11,14,seg,2,4,19154,19154
53,2016,11,14,seg,2,4,19154,17448
10,2016,11,14,seg,2,4,17448,17244
12,2016,11,16,qua,2,4,17244,18019
16,2016,11,16,qua,2,4,18019,17520
53,2016,11,16,qua,2,4,17520,19072
54,2016,11,16,qua,2,4,19072,19072
54,2016,11,16,qua,2,4,19072,18771
192,2016,11,16,qua,2,4,18771,18771
192,2016,11,16,qua,2,4,18771,19072
